Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2022-07-06,92100,-0.43,6.58,1.02,0.0055,1308.6600341796875,2292.01,0.35
2022-07-07,93900,1.95,6.71,1.04,0.0046,1304.8499755859375,2334.27,2.28
2022-07-08,94800,0.96,6.78,1.05,0.0039,1297.6500244140625,2350.61,0.12
2022-07-11,93700,-1.16,6.70,1.04,0.0026,1293.7900390625,2340.27,-2.26
2022-07-12,93300,-0.43,6.67,1.03,0.0033,1310.8599853515625,2317.76,-0.95
2022-07-13,94000,0.75,6.72,1.04,0.0037,1305.8299560546875,2328.61,-0.15
2022-07-14,94000,0.0,6.72,1.04,0.0035,1304.8499755859375,2322.32,0.03
2022-07-15,98700,5.0,7.06,1.09,0.0061,1316.1800537109375,2330.98,1.79
2022-07-18,101000,2.33,7.22,1.12,0.0063,1318.1199951171875,2375.25,-0.81
2022-07-19,100000,-0.99,7.15,1.11,0.0037,1318.9100341796875,2370.97,3.11
2022-07-20,102000,2.0,7.29,1.13,0.0055,1305.5,2386.85,1.58
2022-07-21,102500,0.49,7.33,1.13,0.0029,1312.8699951171875,2409.16,1.36
2022-07-22,100000,-2.44,7.15,1.11,0.0043,1306.8499755859375,2393.14,-1.87
2022-07-25,100000,0.0,7.15,1.11,0.003,1309.3199462890625,2403.69,-0.43
2022-07-26,100500,0.5,7.18,1.11,0.0022,1310.4000244140625,2412.96,-1.87
2022-07-27,100000,-0.5,7.15,1.11,0.0043,1310.9000244140625,2415.53,4.06
2022-07-28,99400,-0.6,7.11,1.1,0.0046,1305.949951171875,2435.27,1.08
2022-07-29,97900,-1.51,7.00,1.08,0.0054,1295.1500244140625,2451.5,1.88
2022-08-01,97100,-0.82,6.94,1.07,0.0028,1302.280029296875,2452.25,-0.18
2022-08-02,96500,-0.62,6.90,1.07,0.0026,1306.75,2439.62,-0.16
2022-08-03,97500,1.04,6.97,1.08,0.0023,1314.6300048828125,2461.45,2.59
2022-08-04,97500,0.0,6.97,1.08,0.0027,1307.3800048828125,2473.11,0.41
2022-08-05,98500,1.03,7.04,1.09,0.0028,1302.0799560546875,2490.8,-0.5
