Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2016-07-27,1527000,-3000,-0.2,126305,12.09,1016129,1.5,21000,1.38,0.0009,1134.550048828125,2025.05,0.58
2016-07-28,1507000,-20000,-1.31,126305,11.93,1016129,1.48,21000,1.39,0.0013,1129.050048828125,2021.1,0.3
2016-07-29,1539000,32000,2.12,126305,12.18,1016129,1.51,21000,1.36,0.0021,1123.3499755859375,2016.19,0.14
2016-08-01,1568000,29000,1.88,126305,12.41,1016129,1.54,21000,1.34,0.0016,1109.949951171875,2029.61,0.43
2016-08-02,1548000,-20000,-1.28,126305,12.26,1016129,1.52,21000,1.36,0.0012,1105.449951171875,2019.03,-0.9
2016-08-03,1517000,-31000,-2.0,126305,12.01,1016129,1.49,21000,1.38,0.0011,1111.8399658203125,1994.79,0.43
2016-08-04,1517000,0,0.0,126305,12.01,1016129,1.49,21000,1.38,0.001,1113.449951171875,2000.03,0.13
2016-08-05,1561000,44000,2.9,126305,12.36,1016129,1.54,21000,1.35,0.001,1109.949951171875,2017.94,1.06
2016-08-08,1569000,8000,0.51,126305,12.42,1016129,1.54,21000,1.34,0.0016,1113.3499755859375,2031.12,-0.15
2016-08-09,1567000,-2000,-0.13,126305,12.41,1016129,1.54,21000,1.34,0.0013,1104.6500244140625,2043.78,0.24
2016-08-10,1541000,-26000,-1.66,126305,12.2,1016129,1.52,21000,1.36,0.0017,1099.9000244140625,2044.64,-0.4
2016-08-11,1559000,18000,1.17,126305,12.34,1016129,1.53,21000,1.35,0.0015,1094.25,2048.8,0.46
2016-08-12,1545000,-14000,-0.9,126305,12.23,1016129,1.52,21000,1.36,0.0015,1095.949951171875,2050.47,0.09
2016-08-16,1568000,23000,1.49,126305,12.41,1016129,1.54,21000,1.34,0.0015,1097.3599853515625,2047.76,-0.66
2016-08-17,1566000,-2000,-0.13,126305,12.4,1016129,1.54,21000,1.34,0.0011,1094.030029296875,2043.75,0.03
2016-08-18,1640000,74000,4.73,126305,12.98,1016129,1.61,21000,1.28,0.0026,1104.5,2055.47,0.22
2016-08-19,1675000,35000,2.13,126305,13.26,1016129,1.65,21000,1.25,0.0024,1106.9599609375,2056.24,-0.03
2016-08-22,1665000,-10000,-0.6,126305,13.18,1016129,1.64,21000,1.26,0.0018,1117.3900146484375,2042.16,0.12
