Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2019-12-30,42300,-150,-0.35,3424,12.35,56293,0.75,500,1.18,0.0024,1160.6800537109375,2197.67,-0.67
2020-01-02,41200,-1100,-2.6,3424,12.03,56293,0.73,500,1.21,0.0049,1153.969970703125,2175.17,1.33
2020-01-03,41000,-200,-0.49,3424,11.97,56293,0.73,500,1.22,0.0043,1157.1500244140625,2176.46,-0.79
2020-01-06,39500,-1500,-3.66,3424,11.54,56293,0.7,500,1.27,0.0077,1165.8499755859375,2155.07,0.56
2020-01-07,39700,200,0.51,3424,11.59,56293,0.71,500,1.26,0.004,1167.4200439453125,2175.54,-0.03
2020-01-08,37650,-2050,-5.16,3424,11.0,56293,0.67,500,1.33,0.0114,1166.4599609375,2151.31,0.67
2020-01-09,38650,1000,2.66,3424,11.29,56293,0.69,500,1.29,0.0066,1161.260009765625,2186.45,0.81
2020-01-10,38800,150,0.39,3424,11.33,56293,0.69,500,1.29,0.0045,1157.81005859375,2206.39,-0.27
2020-01-13,40600,1800,4.64,3424,11.86,56293,0.72,500,1.23,0.008,1156.9300537109375,2229.26,1.04
2020-01-14,40600,0,0.0,3424,11.86,56293,0.72,500,1.23,0.004,1153.93994140625,2238.88,-0.24
2020-01-15,41700,1100,2.71,3424,12.18,56293,0.74,500,1.2,0.0053,1157.050048828125,2230.98,0.08
2020-01-16,41250,-450,-1.08,3424,12.05,56293,0.73,500,1.21,0.0025,1156.780029296875,2248.05,1.06
2020-01-17,42050,800,1.94,3424,12.28,56293,0.75,500,1.19,0.0046,1158.77001953125,2250.57,0.34
2020-01-21,41750,-50,-0.12,3424,12.19,56293,0.74,500,1.2,0.0034,1157.5699462890625,2239.69,-0.19
2020-01-22,41450,-300,-0.72,3424,12.11,56293,0.74,500,1.21,0.0039,1168.739990234375,2267.25,0.14
2020-01-23,40650,-800,-1.93,3424,11.87,56293,0.72,500,1.23,0.0048,1163.72998046875,2246.13,0.2
2020-01-28,38800,-1850,-4.55,3424,11.33,56293,0.69,500,1.29,0.0055,1176.72998046875,2176.72,1.43
2020-01-29,39650,850,2.19,3424,11.58,56293,0.7,500,1.26,0.0047,1174.280029296875,2185.28,0.06
2020-01-30,38650,-1000,-2.52,3424,11.29,56293,0.69,500,1.29,0.0051,1178.0799560546875,2148.0,0.26
2020-01-31,38200,-450,-1.16,3424,11.16,56293,0.68,500,1.31,0.004,1187.1199951171875,2119.01,-1.59
2020-02-03,37600,-600,-1.57,3424,10.98,56293,0.67,500,1.33,0.006,1194.8699951171875,2118.88,1.34
2020-02-04,38550,950,2.53,3424,11.26,56293,0.68,500,1.3,0.0042,1189.3599853515625,2157.9,2.1
2020-02-05,38550,0,0.0,3424,11.26,56293,0.68,500,1.3,0.0045,1182.47998046875,2165.63,0.43
2020-02-06,40700,2150,5.58,3424,11.89,56293,0.72,500,1.23,0.0071,1183.4599609375,2227.94,0.67
2020-02-07,40500,-200,-0.49,3424,11.83,56293,0.72,500,1.23,0.0037,1184.25,2211.95,-0.54
2020-02-10,40100,-400,-0.99,3424,11.71,56293,0.71,500,1.25,0.003,1191.0899658203125,2201.07,1.13
2020-02-11,39900,-200,-0.5,3424,11.65,56293,0.71,500,1.25,0.0036,1185.6300048828125,2223.12,0.11
2020-02-12,40100,200,0.5,3424,11.71,56293,0.71,500,1.25,0.0047,1180.719970703125,2238.38,0.9
