Date,Close,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
2018/07/27,56000,-400,-0.71,1810,30.94,-,-,58029,0.97,500,0.89
2018/07/30,58800,2800,+5.00,1810,32.49,-,-,58029,1.01,500,0.85
2018/07/31,58500,-300,-0.51,1810,32.32,-,-,58029,1.01,500,0.85
2018/08/01,58600,100,+0.17,1810,32.38,-,-,58029,1.01,500,0.85
2018/08/02,58500,-100,-0.17,1810,32.32,-,-,58029,1.01,500,0.85
2018/08/03,59600,1100,+1.88,1810,32.93,-,-,58029,1.03,500,0.84
2018/08/06,57100,-2500,-4.19,1810,31.55,-,-,58029,0.98,500,0.88
2018/08/07,58200,1100,+1.93,1810,32.15,-,-,58029,1.00,500,0.86
2018/08/08,59100,900,+1.55,1810,32.65,-,-,58029,1.02,500,0.85
2018/08/09,58900,-200,-0.34,1810,32.54,-,-,58029,1.02,500,0.85
2018/08/10,60800,1900,+3.23,1810,33.59,-,-,58029,1.05,500,0.82
2018/08/13,57700,-3100,-5.10,1810,31.88,-,-,58029,0.99,500,0.87
2018/08/14,60000,2300,+3.99,1810,33.15,-,-,58029,1.03,500,0.83
2018/08/16,59700,-300,-0.50,1810,32.98,-,-,58029,1.03,500,0.84
2018/08/17,60300,600,+1.01,1810,33.31,-,-,58029,1.04,500,0.83
2018/08/20,60600,300,+0.50,1810,33.48,-,-,58029,1.04,500,0.83
2018/08/21,61800,1200,+1.98,1810,34.14,-,-,58029,1.06,500,0.81
2018/08/22,61100,-700,-1.13,1810,33.76,-,-,58029,1.05,500,0.82
2018/08/23,63500,2400,+3.93,1810,35.08,-,-,58029,1.09,500,0.79
2018/08/24,63900,400,+0.63,1810,35.30,-,-,58029,1.10,500,0.78
2018/08/27,60500,-3400,-5.32,1810,33.43,-,-,58029,1.04,500,0.83
2018/08/28,60700,200,+0.33,1810,33.54,-,-,58029,1.05,500,0.82
2018/08/29,59400,-1300,-2.14,1810,32.82,-,-,58029,1.02,500,0.84
2018/08/30,60400,1000,+1.68,1810,33.37,-,-,58029,1.04,500,0.83
2018/08/31,60000,-400,-0.66,1810,33.15,-,-,58029,1.03,500,0.83
2018/09/03,60500,500,+0.83,1810,33.43,-,-,58029,1.04,500,0.83
2018/09/04,61200,700,+1.16,1810,33.81,-,-,58029,1.05,500,0.82
2018/09/05,61200,0,0.00,1810,33.81,-,-,58029,1.05,500,0.82
2018/09/06,60900,-300,-0.49,1810,33.65,-,-,58029,1.05,500,0.82
2018/09/07,63700,2800,+4.60,1810,35.19,-,-,58029,1.10,500,0.78
2018/09/10,68700,5000,+7.85,1810,37.96,-,-,58029,1.18,500,0.73
2018/09/11,68800,100,+0.15,1810,38.01,-,-,58029,1.19,500,0.73
2018/09/12,68900,100,+0.15,1810,38.07,-,-,58029,1.19,500,0.73
2018/09/13,68500,-400,-0.58,1810,37.85,-,-,58029,1.18,500,0.73
2018/09/14,68600,100,+0.15,1810,37.90,-,-,58029,1.18,500,0.73
2018/09/17,68700,100,+0.15,1810,37.96,-,-,58029,1.18,500,0.73
2018/09/18,67000,-1700,-2.47,1810,37.02,-,-,58029,1.15,500,0.75
2018/09/19,65100,-1900,-2.84,1810,35.97,-,-,58029,1.12,500,0.77
2018/09/20,64800,-300,-0.46,1810,35.80,-,-,58029,1.12,500,0.77
2018/09/21,67500,2700,+4.17,1810,37.29,-,-,58029,1.16,500,0.74
2018/09/27,67400,-100,-0.15,1810,37.24,-,-,58029,1.16,500,0.74
2018/09/28,67500,100,+0.15,1810,37.29,-,-,58029,1.16,500,0.74
2018/10/01,67800,300,+0.44,1810,37.46,-,-,58029,1.17,500,0.74
2018/10/02,67800,0,0.00,1810,37.46,-,-,58029,1.17,500,0.74
2018/10/04,68800,1000,+1.47,1810,38.01,-,-,58029,1.19,500,0.73
2018/10/05,66000,-2800,-4.07,1810,36.46,-,-,58029,1.14,500,0.76
2018/10/08,64500,-1500,-2.27,1810,35.64,-,-,58029,1.11,500,0.78
2018/10/10,57700,-6800,-10.54,1810,31.88,-,-,58029,0.99,500,0.87
2018/10/11,53900,-3800,-6.59,1810,29.78,-,-,58029,0.93,500,0.93
2018/10/12,55700,1800,+3.34,1810,30.77,-,-,58029,0.96,500,0.90
2018/10/15,54500,-1200,-2.15,1810,30.11,-,-,58029,0.94,500,0.92
2018/10/16,54600,100,+0.18,1810,30.17,-,-,58029,0.94,500,0.92
2018/10/17,55800,1200,+2.20,1810,30.83,-,-,58029,0.96,500,0.90
2018/10/18,55100,-700,-1.25,1810,30.44,-,-,58029,0.95,500,0.91
2018/10/19,55300,200,+0.36,1810,30.55,-,-,58029,0.95,500,0.90
2018/10/22,52300,-3000,-5.42,1810,28.90,-,-,58029,0.90,500,0.96
2018/10/23,51300,-1000,-1.91,1810,28.34,-,-,58029,0.88,500,0.97
2018/10/24,49850,-1450,-2.83,1810,27.54,-,-,58029,0.86,500,1.00
2018/10/25,49150,-700,-1.40,1810,27.15,-,-,58029,0.85,500,1.02
2018/10/26,46900,-2250,-4.58,1810,25.91,-,-,58029,0.81,500,1.07
2018/10/29,44200,-2700,-5.76,1810,24.42,-,-,58029,0.76,500,1.13
2018/10/30,45450,1250,+2.83,1810,25.11,-,-,58029,0.78,500,1.10
2018/10/31,45750,300,+0.66,1810,25.28,-,-,58029,0.79,500,1.09
2018/11/01,44950,-800,-1.75,1810,24.83,-,-,58029,0.77,500,1.11
2018/11/02,49400,4450,+9.90,1810,27.29,-,-,58029,0.85,500,1.01
2018/11/05,48800,-600,-1.21,1810,26.96,-,-,58029,0.84,500,1.02
2018/11/06,49450,650,+1.33,1810,27.32,-,-,58029,0.85,500,1.01
2018/11/07,47850,-1600,-3.24,1810,26.44,-,-,58029,0.82,500,1.04
2018/11/08,51000,3150,+6.58,1810,28.18,-,-,58029,0.88,500,0.98
2018/11/09,50900,-100,-0.20,1810,28.12,-,-,58029,0.88,500,0.98
2018/11/12,51300,400,+0.79,1810,28.34,-,-,58029,0.88,500,0.97
2018/11/13,50400,-900,-1.75,1810,27.85,-,-,58029,0.87,500,0.99
2018/11/14,49550,-850,-1.69,1810,27.38,-,-,58029,0.85,500,1.01
2018/11/15,51300,1750,+3.53,1810,28.34,-,-,58029,0.88,500,0.97
2018/11/16,51800,500,+0.97,1810,28.62,-,-,58029,0.89,500,0.97
2018/11/19,54000,2200,+4.25,1810,29.83,-,-,58029,0.93,500,0.93
2018/11/20,54100,100,+0.19,1810,29.89,-,-,58029,0.93,500,0.92
2018/11/21,53500,-600,-1.11,1810,29.56,-,-,58029,0.92,500,0.93
2018/11/22,52500,-1000,-1.87,1810,29.01,-,-,58029,0.90,500,0.95
2018/11/23,52600,100,+0.19,1810,29.06,-,-,58029,0.91,500,0.95
2018/11/26,51900,-700,-1.33,1810,28.67,-,-,58029,0.89,500,0.96
2018/11/27,53600,1700,+3.28,1810,29.61,-,-,58029,0.92,500,0.93
2018/11/28,54300,700,+1.31,1810,30.00,-,-,58029,0.94,500,0.92
2018/11/29,54700,400,+0.74,1810,30.22,-,-,58029,0.94,500,0.91
2018/11/30,55000,300,+0.55,1810,30.39,-,-,58029,0.95,500,0.91
2018/12/03,57700,2700,+4.91,1810,31.88,-,-,58029,0.99,500,0.87
2018/12/04,58400,700,+1.21,1810,32.27,-,-,58029,1.01,500,0.86
2018/12/05,56600,-1800,-3.08,1810,31.27,-,-,58029,0.98,500,0.88
2018/12/06,55300,-1300,-2.30,1810,30.55,-,-,58029,0.95,500,0.90
2018/12/07,56900,1600,+2.89,1810,31.44,-,-,58029,0.98,500,0.88
2018/12/10,55700,-1200,-2.11,1810,30.77,-,-,58029,0.96,500,0.90
2018/12/11,55800,100,+0.18,1810,30.83,-,-,58029,0.96,500,0.90
2018/12/12,56000,200,+0.36,1810,30.94,-,-,58029,0.97,500,0.89
2018/12/13,57700,1700,+3.04,1810,31.88,-,-,58029,0.99,500,0.87
2018/12/14,57700,0,0.00,1810,31.88,-,-,58029,0.99,500,0.87
2018/12/17,56800,-900,-1.56,1810,31.38,-,-,58029,0.98,500,0.88
2018/12/18,58400,1600,+2.82,1810,32.27,-,-,58029,1.01,500,0.86
2018/12/19,55900,-2500,-4.28,1810,30.88,-,-,58029,0.96,500,0.89
2018/12/20,56600,700,+1.25,1810,31.27,-,-,58029,0.98,500,0.88
2018/12/21,54900,-1700,-3.00,1810,30.33,-,-,58029,0.95,500,0.91
2018/12/24,53700,-1200,-2.19,1810,29.67,-,-,58029,0.93,500,0.93
2018/12/26,51600,-2100,-3.91,1810,28.51,-,-,58029,0.89,500,0.97
2018/12/27,53700,2100,+4.07,1810,29.67,-,-,58029,0.93,500,0.93
2018/12/28,54600,900,+1.68,1810,30.17,-,-,58029,0.94,500,0.92
2019/01/02,53100,-1500,-2.75,1810,29.34,-,-,58029,0.92,500,0.94
2019/01/03,53900,800,+1.51,1810,29.78,-,-,58029,0.93,500,0.93
2019/01/04,55000,1100,+2.04,1810,30.39,-,-,58029,0.95,500,0.91
2019/01/07,57000,2000,+3.64,1810,31.49,-,-,58029,0.98,500,0.88
2019/01/08,57300,300,+0.53,1810,31.66,-,-,58029,0.99,500,0.87
2019/01/09,58500,1200,+2.09,1810,32.32,-,-,58029,1.01,500,0.85
2019/01/10,58600,100,+0.17,1810,32.38,-,-,58029,1.01,500,0.85
2019/01/11,59200,600,+1.02,1810,32.71,-,-,58029,1.02,500,0.84
2019/01/14,60900,1700,+2.87,1810,33.65,-,-,58029,1.05,500,0.82
2019/01/15,60900,0,0.00,1810,33.65,-,-,58029,1.05,500,0.82
2019/01/16,61400,500,+0.82,1810,33.92,-,-,58029,1.06,500,0.81
2019/01/17,60700,-700,-1.14,1810,33.54,-,-,58029,1.05,500,0.82
2019/01/18,60800,100,+0.16,1810,33.59,-,-,58029,1.05,500,0.82
2019/01/21,60400,-400,-0.66,1810,33.37,-,-,58029,1.04,500,0.83
2019/01/22,59900,-500,-0.83,1810,33.09,-,-,58029,1.03,500,0.83
2019/01/23,60800,900,+1.50,1810,33.59,-,-,58029,1.05,500,0.82
2019/01/24,61200,400,+0.66,1810,33.81,-,-,58029,1.05,500,0.82
2019/01/25,62400,1200,+1.96,1810,34.48,-,-,58029,1.08,500,0.80
2019/01/28,62100,-300,-0.48,1810,34.31,-,-,58029,1.07,500,0.81
2019/01/29,59800,-2300,-3.70,1810,33.04,-,-,58029,1.03,500,0.84
2019/01/30,61800,2000,+3.34,1810,34.14,-,-,58029,1.06,500,0.81
2019/01/31,62200,400,+0.65,1810,34.36,-,-,58029,1.07,500,0.80
2019/02/01,64500,2300,+3.70,1810,35.64,-,-,58029,1.11,500,0.78
2019/02/07,65000,500,+0.78,1810,35.91,-,-,58029,1.12,500,0.77
2019/02/08,64300,-700,-1.08,1810,35.52,-,-,58029,1.11,500,0.78
2019/02/11,64000,-300,-0.47,1810,35.36,-,-,58029,1.10,500,0.78
2019/02/12,63000,-1000,-1.56,1810,34.81,-,-,58029,1.09,500,0.79
2019/02/13,62900,-100,-0.16,1810,34.75,-,-,58029,1.08,500,0.79
2019/02/14,62400,-500,-0.79,1810,34.48,-,-,58029,1.08,500,0.80
2019/02/15,62500,100,+0.16,1810,34.53,-,-,58029,1.08,500,0.80
2019/02/18,62800,300,+0.48,1810,34.70,-,-,58029,1.08,500,0.80
2019/02/19,63300,500,+0.80,1810,34.97,-,-,58029,1.09,500,0.79
2019/02/20,63500,200,+0.32,1810,35.08,-,-,58029,1.09,500,0.79
2019/02/21,62800,-700,-1.10,1810,34.70,-,-,58029,1.08,500,0.80
2019/02/22,63600,800,+1.27,1810,35.14,-,-,58029,1.10,500,0.79
2019/02/25,61400,-2200,-3.46,1810,33.92,-,-,58029,1.06,500,0.81
2019/02/26,62300,900,+1.47,1810,34.42,-,-,58029,1.07,500,0.80
